,Unnamed: 0,pair,beta,se,pvals,exposure_name,outcome_name
0,0,ADHD_vs_1421,-0.15283709205957,0.0485184691531214,0.0053653860723132,ADHD,wg rh intensity-contrast parstriangularis
1,1,MDD_vs_1886,0.160308356675656,0.0525786039000537,0.007353479112077,MDD,IDP dMRI ProbtrackX L3 fmi
2,2,MDD_vs_1962,-0.184299560864467,0.0530621187938194,0.00181923341583,MDD,IDP dMRI ProbtrackX ICVF ifo l
3,3,MDD_vs_1511,-0.189704367282036,0.052653031895861,0.0011449661795695,MDD,IDP dMRI ProbtrackX FA fmi
4,4,MDD_vs_1963,-0.198122097403268,0.0526684349632989,0.0006344233310339,MDD,IDP dMRI ProbtrackX ICVF ifo r
5,5,SCZ_vs_1377,0.0598004333519334,0.0184293719646235,0.0039511525448325,SCZ,wg lh intensity-contrast lateraloccipital
6,6,MDD_vs_1925,-0.171476333975663,0.0525398467990065,0.0037116675812575,MDD,IDP dMRI TBSS ICVF Anterior corona radiata L
7,7,MDD_vs_1859,0.170116628046259,0.0526204385631115,0.004109557158825,MDD,IDP dMRI ProbtrackX L2 fmi
8,8,MDD_vs_1730,0.15809861626658,0.0525426499073206,0.0083155024853996,MDD,IDP dMRI TBSS L2 External capsule R
9,9,MDD_vs_1904,-0.169642812007636,0.052725809829496,0.0043211032419148,MDD,IDP dMRI TBSS ICVF Genu of corpus callosum
10,10,MDD_vs_1923,-0.157436134367091,0.0529157854130204,0.0092005731651775,MDD,IDP dMRI TBSS ICVF Retrolenticular part of internal capsule L
11,11,MDD_vs_1906,-0.185771225049471,0.0525749683226828,0.0014699424715191,MDD,IDP dMRI TBSS ICVF Splenium of corpus callosum
12,12,MDD_vs_1922,-0.190025013874876,0.0529680188250306,0.0012097846155832,MDD,IDP dMRI TBSS ICVF Retrolenticular part of internal capsule R
13,13,MDD_vs_1921,-0.161394662066648,0.0529169603440601,0.0073300454281312,MDD,IDP dMRI TBSS ICVF Posterior limb of internal capsule L
14,14,MDD_vs_1456,-0.168553783039905,0.0525214462118789,0.0044377280712545,MDD,IDP dMRI TBSS FA Splenium of corpus callosum
15,15,MDD_vs_1924,-0.169979080070021,0.0525197595603711,0.004061546062793,MDD,IDP dMRI TBSS ICVF Anterior corona radiata R
16,16,MDD_vs_1965,-0.163817775447537,0.0525259453562569,0.005922082419813,MDD,IDP dMRI ProbtrackX ICVF ilf r
17,17,MDD_vs_1967,-0.16059696335964,0.052748261216313,0.0074521000586296,MDD,IDP dMRI ProbtrackX ICVF ml l
18,18,MDD_vs_1974,-0.173462800584734,0.0527304302443167,0.0034058856679188,MDD,IDP dMRI ProbtrackX ICVF str r
