pair,beta_unadj,se,adj_p,exp_cat,out_cat,dce_beta,exp,out,non_zero_in_dce,exposure_name,outcome_name
0233_vs_SCZ,-0.151842710837707,0.0465986496327663,0.0036720659666015,regional and tissue volume,bd/scz,0.0,0233,SCZ,False,AmygNuclei rh volume Lateral-nucleus,SCZ
0339_vs_SCZ,-0.18863454191792,0.0488274745208917,0.0004211384110652,regional and tissue volume,bd/scz,-0.0051772070539721,0339,SCZ,True,Brainstem global volume Medulla,SCZ
0339_vs_ANX,-0.112829920622005,0.029766355559148,0.0005572589913689,regional and tissue volume,internalizing,0.0,0339,ANX,False,Brainstem global volume Medulla,ANX
0340_vs_SCZ,-0.088197952971002,0.0273019774462879,0.0040280641123177,regional and tissue volume,bd/scz,-0.0068393393726075,0340,SCZ,True,Brainstem global volume Pons,SCZ
0343_vs_SCZ,-0.0990138847896098,0.0336131855723645,0.0097590950356028,regional and tissue volume,bd/scz,-0.0010197086586292,0343,SCZ,True,Brainstem global volume Whole-brainstem,SCZ
0262_vs_ADHD,-0.220290823343194,0.048580339583742,2.4959143507366444e-05,regional and tissue volume,neurodevelopmental,0.0,0262,ADHD,False,HippSubfield lh volume Whole-hippocampal-body,ADHD
0262_vs_PTSD,-0.081137374451303,0.0227004805073599,0.0012381953544664,regional and tissue volume,internalizing,-0.005734723467473,0262,PTSD,True,HippSubfield lh volume Whole-hippocampal-body,PTSD
0262_vs_ANX,-0.0892798758175311,0.0261003137872778,0.0021288503582824,regional and tissue volume,internalizing,-0.0016870023698968,0262,ANX,True,HippSubfield lh volume Whole-hippocampal-body,ANX
0264_vs_ADHD,-0.137434991562064,0.0426232888651864,0.0041072009489546,regional and tissue volume,neurodevelopmental,0.0,0264,ADHD,False,HippSubfield lh volume Whole-hippocampus,ADHD
0264_vs_PTSD,-0.0746988772158033,0.0215700492417261,0.0018369237571385,regional and tissue volume,internalizing,-0.0061800519012248,0264,PTSD,True,HippSubfield lh volume Whole-hippocampus,PTSD
0280_vs_ADHD,-0.193443614384604,0.0547259954587832,0.0014256369308847,regional and tissue volume,neurodevelopmental,0.0,0280,ADHD,False,HippSubfield rh volume CA4-body,ADHD
0159_vs_TUD,0.0496525467159945,0.0120752031994643,0.000155604589397,regional and tissue volume,substance use,0.016182118657618,0159,TUD,True,IDP T1 FAST ROIs L cerebellum IX,TUD
0159_vs_CUD,0.149638822080061,0.0442189792455253,0.0024115734880533,regional and tissue volume,substance use,0.0,0159,CUD,False,IDP T1 FAST ROIs L cerebellum IX,CUD
0153_vs_BD,0.108731672055149,0.0368066565167245,0.0095191167328683,regional and tissue volume,bd/scz,0.0,0153,BD,False,IDP T1 FAST ROIs L cerebellum VIIIa,BD
0144_vs_ADHD,0.129315071713946,0.0439102415489782,0.0097777582947233,regional and tissue volume,neurodevelopmental,0.0,0144,ADHD,False,IDP T1 FAST ROIs L cerebellum crus I,ADHD
0147_vs_ADHD,-0.126013631515991,0.0416070143142807,0.0076029114517255,regional and tissue volume,neurodevelopmental,0.0,0147,ADHD,False,IDP T1 FAST ROIs L cerebellum crus II,ADHD
0147_vs_AUD,-0.0432538171448377,0.013463142286428,0.0042642972615028,regional and tissue volume,substance use,-0.0093512675108757,0147,AUD,True,IDP T1 FAST ROIs L cerebellum crus II,AUD
0134_vs_MDD,0.0646642628599704,0.0120180934552736,3.746870983372621e-07,regional and tissue volume,internalizing,0.0261494662146041,0134,MDD,True,IDP T1 FAST ROIs L ventral striatum,MDD
0134_vs_PTSD,0.0695021168724528,0.0153598398402263,2.6077480442133703e-05,regional and tissue volume,internalizing,0.0111467611356433,0134,PTSD,True,IDP T1 FAST ROIs L ventral striatum,PTSD
0134_vs_TUD,0.0305981870244084,0.0081436738033552,0.0006322926442262,regional and tissue volume,substance use,0.0117097456743767,0134,TUD,True,IDP T1 FAST ROIs L ventral striatum,TUD
0134_vs_ANX,0.070486075265998,0.0173290748354917,0.0001866802590068,regional and tissue volume,internalizing,0.0168069443789056,0134,ANX,True,IDP T1 FAST ROIs L ventral striatum,ANX
0134_vs_CUD,0.136142049269739,0.0304861978016946,3.408591189743833e-05,regional and tissue volume,substance use,0.0164785826102432,0134,CUD,True,IDP T1 FAST ROIs L ventral striatum,CUD
0155_vs_CUD,0.240265989578651,0.0545670504514674,4.498685320928426e-05,regional and tissue volume,substance use,0.0,0155,CUD,False,IDP T1 FAST ROIs R cerebellum VIIIa,CUD
0152_vs_CUD,0.178517964894789,0.0467102327374685,0.0004944538499557,regional and tissue volume,substance use,0.0,0152,CUD,False,IDP T1 FAST ROIs R cerebellum VIIb,CUD
