Pair 	Exposure category 	Outcome category 	N SNPs 	P > 0.05 in any LOO? 	Nonzero in DCE? 	Sig. methods
IDP T1 FAST ROIs L ventral striatum → ANX 	regional and tissue volume 	internalizing 	15 	Yes 	Yes 	4 / 6
IDP T1 FAST ROIs L ventral striatum → CUD 	regional and tissue volume 	substance use 	15 	Yes 	Yes 	4 / 6
IDP T1 FAST ROIs L ventral striatum → MDD 	regional and tissue volume 	internalizing 	15 	No 	Yes 	3 / 6
IDP T1 FAST ROIs L ventral striatum → PTSD 	regional and tissue volume 	internalizing 	15 	No 	Yes 	4 / 6
IDP T1 FAST ROIs L ventral striatum → TUD 	regional and tissue volume 	substance use 	15 	Yes 	Yes 	4 / 6
IDP T1 FAST ROIs R ventral striatum → CUD 	regional and tissue volume 	substance use 	10 	Yes 	Yes 	4 / 6
IDP T1 FAST ROIs R ventral striatum → MDD 	regional and tissue volume 	internalizing 	10 	No 	Yes 	3 / 6
IDP T1 FAST ROIs L cerebellum crus I → ADHD 	regional and tissue volume 	neurodevelopmental 	15 	n.s. 	No 	2 / 6
IDP T1 FAST ROIs R cerebellum crus I → ANX 	regional and tissue volume 	internalizing 	20 	No 	Yes 	3 / 6
IDP T1 FAST ROIs R cerebellum crus I → CUD 	regional and tissue volume 	substance use 	20 	n.s. 	No 	1 / 6
IDP T1 FAST ROIs L cerebellum crus II → ADHD 	regional and tissue volume 	neurodevelopmental 	16 	n.s. 	No 	2 / 6
IDP T1 FAST ROIs L cerebellum crus II → AUD 	regional and tissue volume 	substance use 	16 	n.s. 	Yes 	2 / 6
IDP T1 FAST ROIs R cerebellum crus II → AUD 	regional and tissue volume 	substance use 	21 	Yes 	Yes 	3 / 6
IDP T1 FAST ROIs R cerebellum crus II → CUD 	regional and tissue volume 	substance use 	21 	No 	Yes 	3 / 6
IDP T1 FAST ROIs R cerebellum VIIb → CUD 	regional and tissue volume 	substance use 	13 	n.s. 	No 	3 / 6
IDP T1 FAST ROIs L cerebellum VIIIa → BD 	regional and tissue volume 	bd/scz 	14 	n.s. 	No 	1 / 6
IDP T1 FAST ROIs V cerebellum VIIIa → SCZ 	regional and tissue volume 	bd/scz 	15 	n.s. 	No 	2 / 6
IDP T1 FAST ROIs R cerebellum VIIIa → CUD 	regional and tissue volume 	substance use 	12 	No 	No 	3 / 6
IDP T1 FAST ROIs V cerebellum VIIIb → TUD 	regional and tissue volume 	substance use 	14 	Yes 	Yes 	3 / 6
IDP T1 FAST ROIs L cerebellum IX → CUD 	regional and tissue volume 	substance use 	12 	Yes 	No 	3 / 6
IDP T1 FAST ROIs L cerebellum IX → TUD 	regional and tissue volume 	substance use 	12 	Yes 	Yes 	3 / 6
aseg global volume VentricleChoroid → ADHD 	regional and tissue volume 	neurodevelopmental 	10 	n.s. 	No 	2 / 6
aseg global volume VentricleChoroid → SCZ 	regional and tissue volume 	bd/scz 	10 	No 	Yes 	3 / 6
aseg global volume 3rd-Ventricle → ADHD 	regional and tissue volume 	neurodevelopmental 	11 	n.s. 	No 	1 / 6
aseg global volume CC-Posterior → CUD 	regional and tissue volume 	substance use 	12 	No 	No 	3 / 6
aseg lh volume Lateral-Ventricle → ADHD 	regional and tissue volume 	neurodevelopmental 	10 	n.s. 	No 	2 / 6
aseg lh volume Lateral-Ventricle → SCZ 	regional and tissue volume 	bd/scz 	10 	No 	No 	3 / 6
aseg rh volume Putamen → AUD 	regional and tissue volume 	substance use 	14 	n.s. 	Yes 	1 / 6
aseg rh volume Putamen → CUD 	regional and tissue volume 	substance use 	14 	n.s. 	No 	1 / 6
AmygNuclei rh volume Lateral-nucleus → SCZ 	regional and tissue volume 	bd/scz 	10 	No 	No 	3 / 6
HippSubfield lh volume Whole-hippocampal-body → ADHD 	regional and tissue volume 	neurodevelopmental 	12 	n.s. 	No 	1 / 6
